2 | Buy house | 2021-04-15 01:04:37
3 | Buy house | 2021-04-15 01:04:37
4 | Car wash | 2021-04-15 01:04:37
5 | Barbershop | 2021-04-15 01:04:37
6 | Life insurance | 2021-04-15 01:04:37
7 | Buy house | 2021-04-15 01:04:37
8 | Cleaning | 2021-04-15 01:04:37
10 | Car wash | 2021-04-15 01:04:37
11 | Learning | 2021-04-15 01:04:37
12 | Car wash | 2021-04-15 01:04:37
13 | Repair smth | 2021-04-15 01:04:37
14 | Learning | 2021-04-15 01:04:37
15 | Learning | 2021-04-15 01:04:37
16 | Car wash | 2021-04-15 01:04:37
17 | Buy house | 2021-04-15 01:04:37
18 | Get loan | 2021-04-15 01:04:37
19 | Cleaning | 2021-04-15 01:04:37
20 | Cleaning | 2021-04-15 01:04:37
21 | Buy house | 2021-04-15 01:04:37
22 | Get loan | 2021-04-15 01:04:37
23 | Cleaning | 2021-04-15 01:04:37
24 | Learning | 2021-04-15 01:04:37
25 | Repair smth | 2021-04-15 01:04:37
26 | Barbershop | 2021-04-15 01:04:37
27 | Buy house | 2021-04-15 01:04:37
28 | Buy auto | 2021-04-15 01:04:37
29 | Buy house | 2021-04-15 01:04:37
30 | Get loan | 2021-04-15 01:04:37
31 | Learning | 2021-04-15 01:04:37
32 | Life insurance | 2021-04-15 01:04:37
33 | Buy house | 2021-04-15 01:04:37
34 | Cleaning | 2021-04-15 01:04:37
35 | Life insurance | 2021-04-15 01:04:37
36 | Life insurance | 2021-04-15 01:04:37
37 | Get loan | 2021-04-15 01:04:37
38 | Learning | 2021-04-15 01:04:37
39 | Life insurance | 2021-04-15 01:04:37
40 | Life insurance | 2021-04-15 01:04:37
41 | Get loan | 2021-04-15 01:04:37
42 | Life insurance | 2021-04-15 01:04:37
43 | Car wash | 2021-04-15 01:04:37
44 | Learning | 2021-04-15 01:04:37
46 | Cleaning | 2021-04-15 01:04:37
45 | Cleaning | 2021-04-15 01:04:37
47 | Get loan | 2021-04-15 01:04:37
48 | Repair smth | 2021-04-15 01:04:37
49 | Learning | 2021-04-15 01:04:37
50 | Cleaning | 2021-04-15 01:04:37
51 | Buy auto | 2021-04-15 01:04:37
52 | Buy auto | 2021-04-15 01:04:37
53 | Learning | 2021-04-15 01:04:37
54 | Life insurance | 2021-04-15 01:04:37
56 | Car wash | 2021-04-15 01:04:37
57 | Car wash | 2021-04-15 01:04:37
58 | Buy auto | 2021-04-15 01:04:37
59 | Life insurance | 2021-04-15 01:04:37
60 | Car insurance | 2021-04-15 01:04:37
61 | Barbershop | 2021-04-15 01:04:37
63 | Get loan | 2021-04-15 01:04:37
64 | Learning | 2021-04-15 01:04:37
65 | Get loan | 2021-04-15 01:04:37
